15:43:31 09-07-2021

Description:,"Cyclosporin CPMG experiment.
Iteration 2 (vc = 4)"

Experiment Info:
Sweep Width (Hz),5000
Sweep Width (ppm),9.99736
Transmitter Offset (Hz),2250.59
Transmitter Offset (ppm),4.49998
Transmitter Frequency (MHz),500.132
Basic Frequency (MHz),500.13
Nucleus,1H
Filter region (Hz):,3831.03 - 3751.07
Filter region (ppm):,7.66004 - 7.50016

Result:
Osc.,Amp.,Phase (rad),Freq. (Hz),Freq. (ppm),Damp. (s⁻¹),Integ.,Norm. Integ.
1,4113.5,1.5657,3752.3,7.5027,16.98,166850000,0.10482
,±69.057,±0.013271,±0.029894,±5.9772e-05,±0.22885,-,-
2,18587,0.75419,3759.9,7.5177,106.55,580750000,0.36485
,±154.66,±0.0073358,±0.17611,±0.00035213,±1.2752,-,-
3,21097,-0.83764,3785.9,7.5697,10.319,910020000,0.57171
,±30.837,±0.0014738,±0.0023959,±4.7905e-06,±0.014887,-,-
4,20408,0.56266,3794.6,7.5873,10.545,878000000,0.5516
,±32.27,±0.0016439,±0.0026407,±5.2799e-06,±0.016281,-,-
5,23534,-0.28973,3814.4,7.6267,118.75,722750000,0.45406
,±160.93,±0.0088243,±0.20223,±0.00040436,±0.89034,-,-
6,5481.4,-1.3899,3829.7,7.6574,20.399,217150000,0.13643
,±64.045,±0.0087637,±0.02644,±5.2867e-05,±0.21133,-,-
