15:43:39 09-07-2021

Description:,"Cyclosporin CPMG experiment.
Iteration 3 (vc = 8)"

Experiment Info:
Sweep Width (Hz),5000
Sweep Width (ppm),9.99736
Transmitter Offset (Hz),2250.59
Transmitter Offset (ppm),4.49998
Transmitter Frequency (MHz),500.132
Basic Frequency (MHz),500.13
Nucleus,1H
Filter region (Hz):,3831.03 - 3751.07
Filter region (ppm):,7.66004 - 7.50016

Result:
Osc.,Amp.,Phase (rad),Freq. (Hz),Freq. (ppm),Damp. (s⁻¹),Integ.,Norm. Integ.
1,2625.1,1.561,3752.3,7.5027,17.886,105780000,0.10093
,±57.414,±0.015607,±0.037763,±7.5507e-05,±0.31379,-,-
2,11794,0.80788,3760.5,7.5191,119.84,361660000,0.34511
,±146.72,±0.011418,±0.314,±0.00062783,±2.0057,-,-
3,15030,-1.4466,3785.8,7.5696,10.201,649200000,0.61948
,±25.074,±0.0015409,±0.0025114,±5.0215e-06,±0.016387,-,-
4,13389,1.1977,3794.7,7.5873,10.402,576990000,0.55058
,±26.199,±0.001806,±0.0029494,±5.8973e-06,±0.019347,-,-
5,14105,-0.39366,3815.7,7.6293,125.58,429300000,0.40965
,±142.74,±0.013845,±0.33645,±0.00067272,±1.4576,-,-
6,3359.1,-1.4421,3829.8,7.6576,20.981,132590000,0.12652
,±60.237,±0.01178,±0.035522,±7.1026e-05,±0.31703,-,-
